"id_releve","YR.REL","x_l93","y_l93","ELEV","surface","meta_original_id_rel"
9823036,2001,949858.726,6405675.301,2279,20,410120
9824097,2005,942288.653,6433482.311,2367,NA,570952
9824615,2016,977574.1007511,6427203.776739,2846,100,1454001
9826887,2016,990724.346,6472254.039,2784,9,1204942
9826938,2019,987491.1439565,6516662.284085,2037,80,1538092
9826953,2016,991491.459,6470485.176,2570,16,1205618
9827233,2008,929320.065,6397533.289,2295,NA,655432
9827245,2008,928510.339,6398347.95,2259,NA,655472
9827262,2008,962259.339,6445851.339,1963,NA,654870
9827354,2014,1005032.6514,6486383.3034,2619,20,1028049
9827399,2003,1013474.944,6492102.945,2374,NA,494531
9827485,2013,954735.4416,6446888.3298,2572,70,945026
9827527,2009,946431.842,6449331.309,2658,NA,691788
9827605,2011,1015480.461,6408516.064,2621,NA,873440
9827607,2001,993908.204,6429524.91,2220,NA,409619
9827660,2016,995313.3162752,6470032.849447,2473,NA,1205463
9827662,2004,989730.055,6417838.229,2339,NA,573837
9827664,2004,990086.314,6418006.892,2352,NA,573843
9827778,2004,990646.14,6411292.139,2338,NA,573907
9827800,2004,989454.752,6414233.927,2298,NA,574212
9827802,2004,989445.396,6414051.365,2389,NA,574215
9827808,2004,989942.808,6414470.733,2489,NA,574236
9827809,2004,989914.724,6414461.423,2485,NA,574237
9827883,2004,996913.771,6421137.268,2316,NA,574483
9827884,2004,996417.061,6420544.208,2378,NA,574493
9827886,2004,997487.023,6420557.142,2472,NA,574505
9827890,2004,996789.178,6425426.503,2628,NA,574604
9827907,2004,997731.514,6425218.281,2346,NA,574583
9827908,2004,997676.397,6425239.665,2354,NA,574584
9827910,2004,997807.192,6424915.671,2390,NA,574590
9827951,2004,1001712.853,6422918.9,2182,NA,574679
9827977,2004,990517.74,6419283.853,2519,NA,574850
9827994,2004,990363.11,6419009.465,2467,NA,574843
9827995,2004,990326.576,6418906.693,2452,NA,574845
9828011,2008,1004847.376,6469622.613,2543,25,669835
9828014,2013,955322.6886,6455004.138,2846,150,959371
9828048,2004,999749.099,6422072.567,2546,NA,574893
9828049,2004,999855.122,6422266.811,2493,NA,574895
9828056,2004,999511.852,6422874.781,2567,NA,574925
9828062,2004,1000030.979,6423095.901,2559,NA,574959
9828067,2004,998991.501,6422574.588,2686,NA,574980
9828077,2004,990993.979,6414127.374,2335,NA,575047
9828080,2004,991235.6,6414052.582,2421,NA,575055
9828108,2008,1010264.899,6508131.325,2649,NA,662773
9828111,2004,988357.498,6416594.816,2451,NA,575263
9828119,2009,1014003.966,6493788.152,2849,NA,693310
9828127,2004,988532.407,6416850.074,2516,NA,575265
9828164,2004,988715.507,6416789.496,2601,NA,575275
9828167,2008,1020950.613,6475256.436,2496,50,667645
9828176,2004,987750.474,6415416.997,2455,NA,575225
9828180,2004,987917.816,6415497.766,2434,NA,575232
9828189,2004,988282.055,6416392.192,2418,NA,575256
9828190,2004,988185.314,6416295.659,2458,NA,575257
9828194,2004,1001640.123,6421611.364,2459,NA,575307
9828196,2004,1001633.924,6421503.981,2450,NA,575312
9828200,2004,1000902.286,6421050.297,2451,NA,575326
9828201,2004,1000472.299,6420794.376,2578,NA,575329
9828203,2004,1000285.96,6420729.355,2699,NA,575332
9828206,2004,1000420.362,6420423.589,2632,NA,575346
9828207,2004,1000489.862,6420370.894,2619,NA,575347
9828210,2004,1000920.582,6420228.542,2697,NA,575356
9828221,2004,1003975.047,6423212.976,2571,NA,575418
9828237,2004,1003168.532,6423134.657,2314,NA,575472
9828239,2004,1004816.474,6423276.093,2717,NA,575506
9828248,2004,995732.864,6420822.945,2460,NA,575619
9828283,2008,1004720.921,6456608.968,2720,NA,660142
9828288,2008,1001584.424,6502206.643,2425,NA,662891
9828346,2009,943220.01,6433078.51,2329,NA,691912
9828457,2009,927680.95,6440900.378,2331,NA,692840
9828602,2016,992204.59,6471127.031,2868,16,1204934
9829078,2002,955183.92,6417134.708,2281,NA,570564
9829086,2002,955735.955,6417238.353,2076,NA,570569
9829393,2004,997218.872,6423371.457,2460,NA,573623
9829398,2004,996381.333,6424155.172,2588,NA,573636
9829399,2004,996581.569,6424240.755,2693,NA,573637
9829407,2004,993178.898,6420017.827,2420,NA,573675
9829416,2004,992524.03,6421465.121,2496,NA,574110
9829430,2004,989266.197,6416731.946,2449,NA,574168
9829438,2004,990365.48,6415805.318,2459,NA,574258
9829482,2004,990788.485,6423084.114,2635,NA,574375
9829485,2004,991523.581,6421782.516,2563,NA,574389
9829506,2004,996590.017,6420741.574,2333,NA,574491
9829521,2004,990331.474,6411907.954,2382,NA,574529
9829530,2004,1001467.836,6422625.825,2158,NA,574613
9829531,2004,1001395.964,6422492.248,2174,NA,574614
9829545,2004,1000621.837,6421267.945,2457,NA,574661
9829546,2004,1000720.847,6420913.443,2489,NA,574667
9829547,2004,1003541.755,6422752.508,2395,NA,574706
9829549,2004,1003714.242,6422617.798,2425,NA,574710
9829550,2004,1003975.501,6422590.503,2425,NA,574712
9829551,2004,1004197.201,6422571.296,2444,NA,574714
9829552,2004,1004349.731,6422393.594,2497,NA,574717
9829558,2004,1003364.469,6421713.059,2774,NA,574733
9829569,2004,1001526.157,6425790.087,2604,NA,574789
9829570,2004,1002111.589,6425342.085,2674,NA,574798
9829574,2004,989622.363,6419420.333,2276,NA,574831
9829579,2004,999798.005,6422610.328,2622,NA,574909
9829581,2004,999800.084,6422759.541,2651,NA,574914
9829586,2004,999167.225,6422488.949,2658,NA,574963
9829597,2004,991691.027,6414223.958,2571,NA,575063
9829629,2004,987893.618,6415450.618,2458,NA,575231
9829633,2004,988183.761,6416452.696,2462,NA,575258
9829639,2004,1001745.938,6421529.418,2490,NA,575309
9829647,2004,1000214.545,6420481.727,2706,NA,575335
9829649,2004,1000132.731,6420805.04,2817,NA,575341
9829651,2004,1000620.908,6420386.219,2600,NA,575349
9829665,2004,1004199.508,6423545.184,2699,NA,575423
9829676,2004,1003474.316,6423084.489,2341,NA,575481
9829680,2004,1005133.681,6423690.938,2906,NA,575519
9829682,2004,1005554.077,6423278.188,2856,NA,575524
9829683,2004,1005741.345,6423365.436,2854,NA,575526
9829694,2004,994197.604,6420348.015,2466,NA,575572
9829704,2004,1001066.373,6420912.106,2426,NA,575632
9829709,2004,1001609.017,6420782.213,2436,NA,575642
9829710,2004,1001914.073,6420410.676,2576,NA,575648
9829714,2004,1002302.112,6420884.837,2557,NA,575673
