"ID","CAREX","SALIX","YR","X_L93","Y_L93"
"13,0/13,0",0,1,2001,967115.6,6446637.7
"13,0/14,0",0,1,2001,967127.8,6446638.4
"13,0/15,0",0,1,2001,967138.7,6446639.4
"13,0/16,0",1,1,2001,967150.6,6446640.4
"13,0/2,0",0,0,2001,966986,6446626.6
"13,0/3,0",0,0,2001,966997.9,6446627.6
"13,0/4,0",0,0,2001,967009.8,6446628.6
"13,0/5,0",0,0,2001,967021.6,6446629.6
"13,0/6,0",0,0,2001,967033.6,6446630.5
"13,0/7,0",0,0,2001,967044.5,6446631.5
"13,0/8,0",0,0,2001,967056.4,6446632.5
"13,0/9,0",0,0,2001,967068.3,6446633.5
"13,5/0,5",0,1,2001,966969.1,6446619.8
"13,5/0,5",0,1,2001,966969.1,6446619.8
"13,5/1,5",0,1,2001,966981,6446620.7
"13,5/10,5",0,0,2001,967086.2,6446629.5
"13,5/11,5",0,1,2001,967098.1,6446630.5
"13,5/13,5",1,0,2001,967121.9,6446632.5
"13,5/14,5",0,0,2001,967133.8,6446633.5
"13,5/15,5",0,1,2001,967145.7,6446634.5
"13,5/16,5",1,1,2001,967156.6,6446635.5
"13,5/17,5",0,1,2001,967169.5,6446636.4
"13,5/2,5",0,0,2001,966991.9,6446621.7
"13,5/3,5",0,0,2001,967004.8,6446622.7
"13,5/4,5",0,0,2001,967015.7,6446623.6
"13,5/5,5",0,0,2001,967027.6,6446624.6
"13,5/6,5",0,0,2001,967039.5,6446625.6
"13,5/7,5",0,0,2001,967051.4,6446626.6
"13,5/8,5",0,0,2001,967062.3,6446627.6
"13,5/9,5",0,1,2001,967075.2,6446628.6
"14,0/0,0",0,0,2001,966963.1,6446613.8
"14,0/1,0",0,1,2001,966975,6446614.3
"14,0/10,0",0,0,2001,967081.1,6446623.1
"14,0/11,0",0,1,2001,967092.1,6446624.6
"14,0/12,0",0,1,2001,967104.4,6446625.2
"14,0/13,0",1,1,2001,967116.2,6446626.2
"14,0/15,0",0,1,2001,967139.7,6446628.6
"14,0/16,0",0,1,2001,967151.6,6446629.5
"14,0/2,0",0,1,2001,966986.8,6446615.2
"14,0/3,0",0,0,2001,966998.6,6446616.3
"14,0/4,0",0,0,2001,967010.4,6446617.1
"14,0/5,0",0,0,2001,967021.7,6446618.7
"14,0/6,0",0,0,2001,967033.6,6446619.7
"14,0/7,0",0,0,2001,967045.5,6446620.7
"14,0/8,0",0,0,2001,967057.4,6446621.7
"14,0/9,0",0,1,2001,967069,6446622.3
"14,5/0,5",0,1,2001,966968.9,6446607.8
"14,5/0,5",0,1,2001,966968.9,6446607.8
"14,5/1,5",0,1,2001,966981,6446608.9
"14,5/10,5",0,0,2001,967087.1,6446617.7
"14,5/11,5",0,1,2001,967099,6446618.7
"14,5/12,5",1,0,2001,967110,6446619.7
"14,5/13,5",0,0,2001,967122.9,6446620.7
"14,5/2,5",0,0,2001,966992.9,6446609.9
"14,5/3,5",0,0,2001,967004.8,6446610.8
"14,5/4,5",0,0,2001,967016.7,6446611.8
"14,5/5,5",0,0,2001,967028.6,6446612.8
"14,5/6,5",0,0,2001,967039.5,6446613.8
"14,5/7,5",0,0,2001,967052.4,6446614.8
"14,5/8,5",0,1,2001,967063.3,6446615.8
"14,5/9,5",0,1,2001,967075.2,6446616.8
"15,0/0,0",0,1,2001,966963.9,6446601.7
"15,0/1,0",0,1,2001,966975.7,6446602.6
"15,0/10,0",0,0,2001,967081.2,6446611.8
"15,0/11,0",0,1,2001,967093.1,6446612.8
"15,0/12,0",0,1,2001,967105,6446613.8
"15,0/13,0",0,0,2001,967115.9,6446614.8
"15,0/14,0",0,0,2001,967128.8,6446615.8
"15,0/2,0",0,0,2001,966987.4,6446603.7
"15,0/3,0",0,0,2001,966998.9,6446604.9
"15,0/4,0",0,0,2001,967010.8,6446605.9
"15,0/5,0",0,0,2001,967022.7,6446606.9
"15,0/6,0",0,0,2001,967034.6,6446607.9
"15,0/7,0",0,0,2001,967045.5,6446608.9
"15,0/8,0",0,1,2001,967058,6446609.7
"15,0/9,0",0,1,2001,967069.9,6446610.7
"15,5/1,5",0,0,2001,966981.7,6446597.4
"15,5/10,5",0,0,2001,967087.1,6446606.9
"15,5/13,5",0,0,2001,967122.9,6446609.9
"15,5/14,5",0,0,2001,967134.8,6446610.8
"15,5/15,5",1,0,2001,967146.7,6446611.8
"15,5/2,5",0,0,2001,966993.4,6446598.5
"15,5/3,5",0,0,2001,967005.8,6446600
"15,5/4,5",0,0,2001,967017.1,6446600.5
"15,5/5,5",0,0,2001,967028.6,6446602
"15,5/6,5",0,0,2001,967040.5,6446603
"15,5/7,5",0,0,2001,967052.4,6446604
"16,0/1,0",0,0,2001,966976,6446591.2
"16,0/10,0",0,1,2001,967082.1,6446600.2
"16,0/11,0",0,1,2001,967093.9,6446601.2
"16,0/12,0",1,0,2001,967106,6446603
"16,0/14,0",0,0,2001,967128.8,6446604.9
"16,0/15,0",1,0,2001,967140.7,6446605.9
"16,0/2,0",0,0,2001,966987.9,6446592.1
"16,0/3,0",0,0,2001,966999.7,6446593.2
"16,0/4,0",0,0,2001,967011.6,6446594.1
"16,0/5,0",0,0,2001,967022.7,6446595.1
"16,0/6,0",0,0,2001,967035,6446596.1
"16,0/7,0",0,0,2001,967046.8,6446597.2
"16,0/8,0",0,0,2001,967058.6,6446598.2
"16,0/9,0",0,0,2001,967070.3,6446599.1
"16,5/1,5",0,0,2001,966982.4,6446585.9
"16,5/10,5",0,1,2001,967088.1,6446595.1
"16,5/12,5",0,0,2001,967111.9,6446597.1
"16,5/13,5",0,0,2001,967123.8,6446598
"16,5/14,5",1,0,2001,967134.8,6446599
"16,5/15,5",1,0,2001,967147.6,6446600.4
"16,5/2,5",0,0,2001,966993.9,6446586.2
"16,5/3,5",0,0,2001,967005.9,6446587.9
"16,5/4,5",0,0,2001,967017.3,6446588.9
"16,5/6,5",0,0,2001,967041.2,6446590.9
"16,5/7,5",0,0,2001,967053.4,6446592.1
"16,5/8,5",0,0,2001,967064.3,6446593.1
"16,5/9,5",0,0,2001,967076.5,6446594
"17,0/10,0",0,0,2001,967082.7,6446588.7
"17,0/14,0",1,0,2001,967129.8,6446593.1
"17,0/15,0",1,0,2001,967140.5,6446593.6
"17,0/4,0",0,0,2001,967012,6446582.7
"17,0/5,0",0,0,2001,967023.7,6446583.3
"17,0/6,0",0,0,2001,967035.6,6446584.7
"17,0/7,0",0,0,2001,967047.4,6446585.6
"17,0/8,0",0,0,2001,967058.9,6446586.7
"17,0/9,0",0,0,2001,967071,6446587.7
"17,5/4,5",0,0,2001,967017.7,6446577.4
"17,5/5,5",0,0,2001,967030.6,6446578.4
"17,5/7,5",0,0,2001,967053.4,6446580.3
"17,5/8,5",0,0,2001,967065.3,6446581.3
"18,0/10,0",0,0,2001,967083.3,6446577.1
"18,0/11,0",0,0,2001,967095.1,6446578.4
"18,0/12,0",0,0,2001,967107,6446579.3
"18,0/13,0",1,0,2001,967118.5,6446580.1
"18,0/14,0",1,0,2001,967130.5,6446581.2
"18,0/5,0",0,0,2001,967024.4,6446572.1
"18,0/6,0",0,0,2001,967036.3,6446573.1
