ID;Year;X_L93;Y_L93;Care myos;Sali herb
13.0/11.0;2022;967092,1031;6446635,456;0;1
13.0/12.0;2022;967104,0076;6446636,441;0;1
13.0/13.0;2022;967115,555;6446637,743;0;1
13.0/14.0;2022;967127,8165;6446638,41;0;1
13.0/15.0;2022;967138,7289;6446639,394;0;0
13.0/16.0;2022;967150,6333;6446640,378;1;0
13.0/2.0;2022;966985,9552;6446626,596;0;0
13.0/3.0;2022;966997,8596;6446627,581;0;0
13.0/4.0;2022;967009,7641;6446628,565;0;0
13.0/6.0;2022;967033,573;6446630,534;0;0
13.0/7.0;2022;967044,4854;6446631,519;0;0
13.0/9.0;2022;967068,2943;6446633,487;0;0
13.5/10.5;2022;967086,1509;6446629,55;0;0
13.5/11.5;2022;967098,0554;6446630,534;0;1
13.5/14.5;2022;967133,7687;6446633,487;0;1
13.5/15.5;2022;967145,6731;6446634,472;0;1
13.5/16.5;2022;967156,5856;6446635,456;0;1
13.5/17.5;2022;967169,482;6446636,441;0;1
13.5/2.5;2022;966991,9074;6446621,674;0;0
13.5/3.5;2022;967004,8039;6446622,659;0;0
13.5/4.5;2022;967015,7163;6446623,643;0;0
13.5/5.5;2022;967027,6207;6446624,627;0;0
13.5/6.5;2022;967039,5252;6446625,612;0;0
13.5/7.5;2022;967051,4296;6446626,596;0;0
13.5/8.5;2022;967062,342;6446627,581;0;0
13.5/9.5;2022;967075,2385;6446628,565;0;0
14.0/0.0;2022;966963,1383;6446613,799;0;1
14.0/1.0;2022;966975,0428;6446614,291;0;1
14.0/10.0;2022;967081,0584;6446623,114;0;0
14.0/12.0;2022;967104,4045;6446625,189;0;1
14.0/13.0;2022;967116,1898;6446626,239;1;0
14.0/16.0;2022;967151,6254;6446629,55;1;1
14.0/3.0;2022;966998,5542;6446616,289;0;0
14.0/4.0;2022;967010,3923;6446617,141;0;0
14.0/5.0;2022;967021,6685;6446618,721;0;0
14.0/7.0;2022;967045,4774;6446620,69;0;0
14.0/8.0;2022;967057,3818;6446621,674;0;0
14.5/1.5;2022;966980,995;6446608,877;0;1
14.5/10.5;2022;967087,143;6446617,736;0;0
14.5/11.5;2022;967099,0474;6446618,721;0;1
14.5/12.5;2022;967109,9598;6446619,705;1;0
14.5/2.5;2022;966992,8994;6446609,861;0;0
14.5/5.5;2022;967028,6128;6446612,814;0;0
14.5/6.5;2022;967039,5252;6446613,799;0;1
14.5/7.5;2022;967052,4217;6446614,783;0;0
14.5/8.5;2022;967063,3341;6446615,768;0;0
14.5/9.5;2022;967075,2385;6446616,752;0;0
15.0/1.0;2022;966975,6675;6446602,597;0;0
15.0/10.0;2022;967081,1907;6446611,83;0;0
15.0/11.0;2022;967093,0952;6446612,814;0;1
15.0/12.0;2022;967104,9996;6446613,799;0;1
15.0/2.0;2022;966987,3674;6446603,668;0;0
15.0/4.0;2022;967010,7561;6446605,923;0;0
15.0/5.0;2022;967022,6605;6446606,908;0;0
15.0/6.0;2022;967034,565;6446607,892;0;0
15.0/7.0;2022;967045,4774;6446608,877;0;0
15.0/8.0;2022;967058,0167;6446609,742;0;0
15.5/1.5;2022;966981,7011;6446597,413;0;0
15.5/10.5;2022;967087,143;6446606,908;0;0
15.5/14.5;2022;967134,7607;6446610,845;1;0
15.5/2.5;2022;966993,3955;6446598,54;0;0
15.5/5.5;2022;967028,6128;6446601,985;0;0
15.5/6.5;2022;967040,5172;6446602,97;0;0
15.5/7.5;2022;967052,4217;6446603,954;0;0
16.0/10.0;2022;967082,1034;6446600,247;0;0
16.0/12.0;2022;967105,9917;6446602,97;1;0
16.0/14.0;2022;967128,8085;6446604,939;1;0
16.0/15.0;2022;967140,713;6446605,923;1;0
16.0/2.0;2022;966987,9393;6446592,141;0;1
16.0/3.0;2022;966999,6785;6446593,231;0;0
16.0/4.0;2022;967011,5768;6446594,104;0;0
16.0/6.0;2022;967035,0388;6446596,125;0;0
16.0/9.0;2022;967070,318;6446599,143;0;0
16.5/10.5;2022;967088,135;6446595,094;1;0
16.5/2.5;2022;966993,8915;6446586,235;0;0
16.5/8.5;2022;967064,3261;6446593,126;0;0
17.0/10.0;2022;967082,7102;6446588,653;0;0
17.0/14.0;2022;967129,8006;6446593,126;0;1
17.0/4.0;2022;967012,0127;6446582,661;0;0
17.0/5.0;2022;967023,6526;6446583,281;0;0
17.0/6.0;2022;967035,601;6446584,671;0;0
17.0/9.0;2022;967070,9627;6446587,701;0;0
17.5/4.5;2022;967017,7004;6446577,375;0;0
17.5/7.5;2022;967053,4137;6446580,328;0;0
18.0/13.0;2022;967118,5349;6446580,081;1;0
18.0/14.0;2022;967130,4941;6446581,192;1;0
18.0/5.0;2022;967024,4133;6446572,129;0;0
18.0/7.0;2022;967048,0237;6446574,065;0;1
18.0/9.0;2022;967071,3233;6446576,199;1;1
18.5/6.5;2022;967042,5013;6446567,53;0;1
18.5/7.5;2022;967054,4057;6446568,515;0;1
18.5/8.5;2022;967065,3181;6446569,499;0;1
19.0/10.0;2022;967083,77;6446565,793;0;1
19.0/11.0;2022;967095,5754;6446566,777;0;1
19.0/12.0;2022;967107,3806;6446567,795;1;0
2.0/9.0;2022;967061,35;6446760,479;0;0
2.5/10.5;2022;967080,1987;6446756,542;1;0
2.5/8.5;2022;967056,3898;6446754,573;1;0
2.5/9.5;2022;967068,2943;6446755,557;0;0
20.0/11.0;2022;967096,1374;6446555,229;0;1
20.0/12.0;2022;967107,9096;6446556,246;0;0
21.0/12.0;2022;967108,5378;6446544,822;1;0
3.0/10.0;2022;967074,2465;6446749,651;1;0
3.0/15.0;2022;967132,7767;6446754,573;1;0
3.0/17.0;2022;967156,5856;6446756,542;1;0
3.0/18.0;2022;967168,49;6446757,526;1;0
3.0/9.0;2022;967062,342;6446748,666;1;0
3.5/10.5;2022;967080,7176;6446744,366;1;0
3.5/13.5;2022;967115,912;6446747,682;1;0
3.5/14.5;2022;967127,8165;6446748,666;1;0
3.5/15.5;2022;967139,7209;6446749,651;1;0
3.5/16.5;2022;967150,6333;6446750,635;0;0
4.0/10.0;2022;967075,2842;6446738,097;0;0
4.0/11.0;2022;967086,1509;6446738,822;1;0
4.0/13.0;2022;967110,5665;6446740,875;1;0
4.0/14.0;2022;967121,8643;6446742,76;1;0
4.0/15.0;2022;967133,7687;6446743,744;1;0
4.0/16.0;2022;967145,6731;6446744,729;1;0
4.0/17.0;2022;967157,4455;6446745,151;0;0
4.0/9.0;2022;967063,4176;6446737,025;1;0
4.5/10.5;2022;967080,9557;6446732,625;0;0
4.5/12.5;2022;967104,9996;6446734,884;1;0
4.5/14.5;2022;967127,8165;6446736,853;0;0
4.5/15.5;2022;967140,713;6446737,837;1;0
4.5/16.5;2022;967151,6254;6446738,822;0;0
4.5/8.5;2022;967057,3818;6446729,962;0;0
4.5/9.5;2022;967069,579;6446731,862;1;0
5.0/10.0;2022;967075,7605;6446726,429;0;0
5.0/12.0;2022;967099,2555;6446728,611;0;1
5.0/13.0;2022;967110,9634;6446729,286;1;0
5.0/14.0;2022;967122,8495;6446730,501;1;1
5.0/16.0;2022;967146,6652;6446732,915;1;0
5.0/18.0;2022;967169,482;6446734,884;0;0
5.0/8.0;2022;967052,2312;6446724,611;1;0
5.0/9.0;2022;967063,8738;6446725,627;0;0
5.5/10.5;2022;967081,8455;6446721,393;0;0
5.5/11.5;2022;967094,0872;6446722,087;0;0
5.5/12.5;2022;967104,9996;6446723,071;0;0
5.5/14.5;2022;967128,8085;6446725,04;1;0
5.5/7.5;2022;967046,4694;6446718,149;1;0
6.0/10.0;2022;967076,2306;6446715,195;0;0
6.0/11.0;2022;967088,0425;6446716,074;0;0
6.0/12.0;2022;967100,0394;6446717,164;0;0
6.0/13.0;2022;967110,9519;6446718,149;0;0
6.0/15.0;2022;967134,7607;6446720,118;0;0
6.0/17.0;2022;967158,5696;6446722,087;1;0
6.0/6.0;2022;967029,474;6446711,258;1;0
6.0/7.0;2022;967040,5172;6446712,242;1;0
6.5/10.5;2022;967082,1828;6446709,289;0;0
6.5/12.5;2022;967105,4956;6446711,75;0;0
6.5/14.5;2022;967129,8006;6446713,227;0;0
6.5/15.5;2022;967141,2074;6446714,843;0;0
6.5/16.5;2022;967152,6174;6446715,195;0;0
6.5/5.5;2022;967023,6526;6446704,367;1;0
6.5/6.5;2022;967035,557;6446705,351;0;0
6.5/7.5;2022;967047,4615;6446706,336;1;0
6.5/9.5;2022;967071,2704;6446708,304;0;0
7.0/10.0;2022;967077,2226;6446703,382;0;0
7.0/12.0;2022;967100,0394;6446705,351;0;0
7.0/13.0;2022;967111,9439;6446706,336;0;0
7.0/14.0;2022;967123,8483;6446707,32;0;0
7.0/15.0;2022;967135,7496;6446708,584;0;1
7.0/16.0;2022;967147,6572;6446709,289;0;0
7.0/18.0;2022;967171,0944;6446711,562;1;0
7.0/6.0;2022;967029,6048;6446699,445;0;0
7.0/7.0;2022;967041,5093;6446700,429;0;0
7.0/8.0;2022;967053,4137;6446701,413;0;0
7.0/9.0;2022;967065,1199;6446702,398;0;0
7.5/12.5;2022;967105,9917;6446700,429;0;0
7.5/13.5;2022;967118,8881;6446701,413;0;0
7.5/14.5;2022;967129,8006;6446702,398;0;0
7.5/15.5;2022;967141,705;6446703,382;0;1
7.5/17.5;2022;967165,5139;6446705,351;0;0
7.5/4.5;2022;967012,7975;6446691,993;1;0
7.5/5.5;2022;967024,6446;6446693,538;1;1
7.5/6.5;2022;967035,557;6446694,522;1;0
7.5/7.5;2022;967048,4535;6446695,507;0;0
7.5/8.5;2022;967059,3659;6446696,491;0;0
7.5/9.5;2022;967071,2704;6446697,476;0;0
8.0/11.0;2022;967089,1932;6446692,983;0;0
8.0/13.0;2022;967112,7046;6446695,085;0;0
8.0/14.0;2022;967124,5758;6446696,089;0;0
8.0/16.0;2022;967147,6572;6446697,476;0;1
8.0/4.0;2022;967006,8872;6446685,993;1;0
8.0/7.0;2022;967041,5093;6446688,616;0;0
8.0/8.0;2022;967054,4057;6446689,6;0;0
8.0/9.0;2022;967065,7415;6446691,114;0;0
8.5/10.5;2022;967083,1748;6446686,647;0;0
8.5/11.5;2022;967096,0713;6446687,631;0;0
8.5/14.5;2022;967130,7926;6446690,585;0;0
8.5/16.5;2022;967153,6094;6446692,553;0;1
8.5/17.5;2022;967166,5059;6446693,538;0;1
8.5/18.5;2022;967177,4183;6446694,522;0;0
8.5/4.5;2022;967012,7402;6446680,74;1;0
8.5/7.5;2022;967048,4535;6446683,694;0;0
8.5/9.5;2022;967072,2624;6446685,662;0;0
9.0/11.0;2022;967089,8216;6446681,592;0;1
9.0/13.0;2022;967112,9359;6446683,694;0;0
9.0/14.0;2022;967124,8404;6446684,678;0;0
9.0/15.0;2022;967136,7448;6446685,662;0;1
9.0/16.0;2022;967148,6493;6446686,647;0;1
9.0/17.0;2022;967159,5617;6446687,631;0;0
9.0/18.0;2022;967172,4582;6446688,616;0;0
9.0/19.0;2022;967183,9659;6446689,6;0;0
9.0/20.0;2022;967195,6719;6446690,618;0;0
9.0/4.0;2022;967007,78;6446674,834;1;0
9.0/5.0;2022;967019,2216;6446675,653;0;0
9.0/6.0;2022;967030,5968;6446676,803;0;0
9.0/7.0;2022;967042,5013;6446677,787;0;0
9.5/11.5;2022;967096,0713;6446675,818;0;1
9.5/13.5;2022;967119,8802;6446677,787;1;0
9.5/14.5;2022;967130,7926;6446678,771;0;1
9.5/15.5;2022;967143,6891;6446679,756;0;1
9.5/16.5;2022;967154,6015;6446680,74;0;1
9.5/17.5;2022;967166,5059;6446681,725;0;1
9.5/2.5;2022;966989,9233;6446666,958;1;0
9.5/3.5;2022;967001,8278;6446667,943;1;0
9.5/4.5;2022;967013,7322;6446668,927;0;0
9.5/5.5;2022;967025,6367;6446669,911;0;0
9.5/6.5;2022;967036,5491;6446670,896;0;0
9.5/7.5;2022;967049,4456;6446671,88;0;0
