ID;Year;X_L93;Y_L93;Care myos;Sali herb
11.5/6.5;2001;967038,5331;6446648,254;0;0
11.5/7.5;2001;967050,4376;6446649,238;0;0
11.5/8.5;2001;967061,35;6446650,223;0;0
11.5/9.5;2001;967074,2465;6446651,207;0;0
12.0/0.0;2001;966962,1463;6446636,441;1;0
12.0/1.0;2001;966973,0587;6446637,425;0;1
12.0/10.0;2001;967080,1987;6446646,285;0;0
12.0/11.0;2001;967091,1111;6446647,269;0;1
12.0/13.0;2001;967114,92;6446649,238;0;0
12.0/15.0;2001;967137,7369;6446651,207;0;1
12.0/16.0;2001;967150,6333;6446652,192;0;1
12.0/17.0;2001;967161,5457;6446653,176;0;1
12.0/18.0;2001;967173,4502;6446654,161;0;1
12.0/19.0;2001;967185,3546;6446655,145;0;0
12.0/2.0;2001;966985,9552;6446638,41;0;1
12.0/3.0;2001;966997,5026;6446639,182;0;0
12.0/4.0;2001;967008,772;6446640,378;0;0
12.0/5.0;2001;967020,6765;6446641,363;0;0
12.0/6.0;2001;967032,5809;6446642,347;0;0
12.0/7.0;2001;967044,5651;6446643,277;0;0
12.0/8.0;2001;967056,3898;6446644,316;0;0
12.0/9.0;2001;967067,9901;6446645,248;0;0
12.5/1.5;2001;966980,003;6446632,503;0;1
12.5/10.5;2001;967086,1509;6446641,363;0;0
12.5/11.5;2001;967098,0554;6446642,347;0;1
12.5/12.5;2001;967108,9678;6446643,332;0;0
12.5/14.5;2001;967132,7767;6446645,301;0;0
12.5/15.5;2001;967144,6811;6446646,285;1;1
12.5/16.5;2001;967156,5856;6446647,269;1;1
12.5/17.5;2001;967168,49;6446648,254;0;1
12.5/2.5;2001;966991,9074;6446633,487;0;0
12.5/3.5;2001;967003,8118;6446634,472;0;0
12.5/4.5;2001;967014,7243;6446635,456;0;0
12.5/5.5;2001;967027,6207;6446636,441;0;0
12.5/6.5;2001;967038,5331;6446637,425;0;0
12.5/7.5;2001;967050,4376;6446638,41;0;0
12.5/8.5;2001;967062,342;6446639,394;0;0
12.5/9.5;2001;967074,2465;6446640,378;0;0
13.0/0.0;2001;966963,1383;6446624,627;1;1
13.0/1.0;2001;966974,0507;6446625,612;0;1
13.0/10.0;2001;967080,1987;6446634,472;0;0
13.0/11.0;2001;967092,1031;6446635,456;0;0
13.0/12.0;2001;967104,0076;6446636,441;0;0
13.0/13.0;2001;967115,555;6446637,743;0;1
13.0/14.0;2001;967127,8165;6446638,41;0;1
13.0/15.0;2001;967138,7289;6446639,394;0;1
13.0/16.0;2001;967150,6333;6446640,378;1;1
13.0/17.0;2001;967162,5378;6446641,855;0;1
13.0/2.0;2001;966985,9552;6446626,596;0;0
13.0/3.0;2001;966997,8596;6446627,581;0;0
13.0/4.0;2001;967009,7641;6446628,565;0;0
13.0/5.0;2001;967021,5655;6446629,645;0;0
13.0/6.0;2001;967033,573;6446630,534;0;0
13.0/7.0;2001;967044,4854;6446631,519;0;0
13.0/8.0;2001;967056,3898;6446632,503;0;0
13.0/9.0;2001;967068,2943;6446633,487;0;0
13.5/1.5;2001;966980,995;6446620,69;0;1
13.5/10.5;2001;967086,1509;6446629,55;0;0
13.5/11.5;2001;967098,0554;6446630,534;0;1
13.5/12.5;2001;967109,9598;6446631,519;0;1
13.5/13.5;2001;967121,8643;6446632,503;1;0
13.5/15.5;2001;967145,6731;6446634,472;0;1
13.5/16.5;2001;967156,5856;6446635,456;1;1
13.5/17.5;2001;967169,482;6446636,441;0;1
13.5/2.5;2001;966991,9074;6446621,674;0;0
13.5/3.5;2001;967004,8039;6446622,659;0;0
13.5/4.5;2001;967015,7163;6446623,643;0;0
13.5/5.5;2001;967027,6207;6446624,627;0;0
13.5/6.5;2001;967039,5252;6446625,612;0;0
13.5/7.5;2001;967051,4296;6446626,596;0;0
13.5/8.5;2001;967062,342;6446627,581;0;0
13.5/9.5;2001;967075,2385;6446628,565;0;1
14.0/0.0;2001;966963,1383;6446613,799;0;0
14.0/1.0;2001;966975,0428;6446614,291;0;1
14.0/10.0;2001;967081,0584;6446623,114;0;0
14.0/11.0;2001;967092,1031;6446624,627;0;1
14.0/12.0;2001;967104,4045;6446625,189;0;1
14.0/13.0;2001;967116,1898;6446626,239;1;1
14.0/15.0;2001;967139,7209;6446628,565;0;1
14.0/16.0;2001;967151,6254;6446629,55;0;1
14.0/2.0;2001;966986,848;6446615,238;0;1
14.0/3.0;2001;966998,5542;6446616,289;0;0
14.0/4.0;2001;967010,3923;6446617,141;0;0
14.0/5.0;2001;967021,6685;6446618,721;0;0
14.0/6.0;2001;967033,573;6446619,705;0;0
14.0/7.0;2001;967045,4774;6446620,69;0;0
