ID;Year;X_L93;Y_L93;Cluster
13.0/0.0;2001;966963,1383;6446624,627;3
13.0/1.0;2001;966974,0507;6446625,612;3
13.0/10.0;2001;967080,1987;6446634,472;10
13.0/11.0;2001;967092,1031;6446635,456;2
13.0/12.0;2001;967104,0076;6446636,441;10
13.0/13.0;2001;967115,555;6446637,743;9
13.0/14.0;2001;967127,8165;6446638,41;3
13.0/15.0;2001;967138,7289;6446639,394;3
13.0/16.0;2001;967150,6333;6446640,378;3
13.0/2.0;2001;966985,9552;6446626,596;2
13.0/3.0;2001;966997,8596;6446627,581;2
13.0/4.0;2001;967009,7641;6446628,565;2
13.0/5.0;2001;967021,5655;6446629,645;2
13.0/6.0;2001;967033,573;6446630,534;2
13.0/7.0;2001;967044,4854;6446631,519;2
13.0/8.0;2001;967056,3898;6446632,503;2
13.0/9.0;2001;967068,2943;6446633,487;9
13.5/1.5;2001;966980,995;6446620,69;6
13.5/10.5;2001;967086,1509;6446629,55;4
13.5/11.5;2001;967098,0554;6446630,534;9
13.5/13.5;2001;967121,8643;6446632,503;1
13.5/15.5;2001;967145,6731;6446634,472;3
13.5/16.5;2001;967156,5856;6446635,456;3
13.5/17.5;2001;967169,482;6446636,441;7
13.5/2.5;2001;966991,9074;6446621,674;2
13.5/3.5;2001;967004,8039;6446622,659;2
13.5/4.5;2001;967015,7163;6446623,643;2
13.5/5.5;2001;967027,6207;6446624,627;2
13.5/6.5;2001;967039,5252;6446625,612;2
13.5/7.5;2001;967051,4296;6446626,596;2
13.5/8.5;2001;967062,342;6446627,581;2
13.5/9.5;2001;967075,2385;6446628,565;9
14.0/0.0;2001;966963,1383;6446613,799;8
14.0/1.0;2001;966975,0428;6446614,291;8
14.0/10.0;2001;967081,0584;6446623,114;10
14.0/11.0;2001;967092,1031;6446624,627;3
14.0/12.0;2001;967104,4045;6446625,189;3
14.0/13.0;2001;967116,1898;6446626,239;3
14.0/15.0;2001;967139,7209;6446628,565;3
14.0/16.0;2001;967151,6254;6446629,55;3
14.0/2.0;2001;966986,848;6446615,238;6
14.0/3.0;2001;966998,5542;6446616,289;2
14.0/4.0;2001;967010,3923;6446617,141;9
14.0/5.0;2001;967021,6685;6446618,721;5
14.0/6.0;2001;967033,573;6446619,705;10
14.0/7.0;2001;967045,4774;6446620,69;9
14.0/8.0;2001;967057,3818;6446621,674;2
14.0/9.0;2001;967069,0219;6446622,262;9
14.5/1.5;2001;966980,995;6446608,877;8
14.5/10.5;2001;967087,143;6446617,736;4
14.5/11.5;2001;967099,0474;6446618,721;3
14.5/12.5;2001;967109,9598;6446619,705;1
14.5/2.5;2001;966992,8994;6446609,861;2
14.5/3.5;2001;967004,8039;6446610,845;2
14.5/4.5;2001;967016,7083;6446611,83;9
14.5/5.5;2001;967028,6128;6446612,814;10
14.5/6.5;2001;967039,5252;6446613,799;9
14.5/7.5;2001;967052,4217;6446614,783;9
14.5/8.5;2001;967063,3341;6446615,768;9
14.5/9.5;2001;967075,2385;6446616,752;9
15.0/0.0;2001;966963,9187;6446601,668;8
15.0/1.0;2001;966975,6675;6446602,597;6
15.0/10.0;2001;967081,1907;6446611,83;10
15.0/11.0;2001;967093,0952;6446612,814;9
15.0/12.0;2001;967104,9996;6446613,799;3
15.0/2.0;2001;966987,3674;6446603,668;2
15.0/3.0;2001;966998,8517;6446604,939;2
15.0/4.0;2001;967010,7561;6446605,923;9
15.0/5.0;2001;967022,6605;6446606,908;10
15.0/6.0;2001;967034,565;6446607,892;10
15.0/7.0;2001;967045,4774;6446608,877;10
15.0/8.0;2001;967058,0167;6446609,742;10
15.0/9.0;2001;967069,8684;6446610,74;9
15.5/1.5;2001;966981,7011;6446597,413;2
15.5/15.5;2001;967146,6652;6446611,83;1
15.5/2.5;2001;966993,3955;6446598,54;2
15.5/3.5;2001;967005,7959;6446600,017;9
15.5/5.5;2001;967028,6128;6446601,985;5
15.5/6.5;2001;967040,5172;6446602,97;10
15.5/7.5;2001;967052,4217;6446603,954;10
16.0/1.0;2001;966976,0348;6446591,157;2
16.0/10.0;2001;967082,1034;6446600,247;9
16.0/11.0;2001;967093,8889;6446601,231;3
16.0/12.0;2001;967105,9917;6446602,97;1
16.0/15.0;2001;967140,713;6446605,923;1
16.0/2.0;2001;966987,9393;6446592,141;9
16.0/3.0;2001;966999,6785;6446593,231;4
16.0/4.0;2001;967011,5768;6446594,104;4
16.0/5.0;2001;967022,6605;6446595,094;5
16.0/6.0;2001;967035,0388;6446596,125;10
16.0/7.0;2001;967046,8128;6446597,15;10
16.0/8.0;2001;967058,612;6446598,199;10
16.5/1.5;2001;966982,3839;6446585,908;9
16.5/10.5;2001;967088,135;6446595,094;9
16.5/14.5;2001;967134,7607;6446599,032;1
16.5/15.5;2001;967147,6044;6446600,353;1
16.5/2.5;2001;966993,8915;6446586,235;10
16.5/3.5;2001;967005,9252;6446587,923;9
16.5/4.5;2001;967017,3366;6446588,878;10
16.5/6.5;2001;967041,2069;6446590,911;10
16.5/7.5;2001;967053,4137;6446592,141;10
16.5/8.5;2001;967064,3261;6446593,126;10
16.5/9.5;2001;967076,533;6446593,974;9
17.0/14.0;2001;967129,8006;6446593,126;1
17.0/15.0;2001;967140,54;6446593,566;1
17.0/4.0;2001;967012,0127;6446582,661;10
17.0/5.0;2001;967023,6526;6446583,281;5
17.0/6.0;2001;967035,601;6446584,671;10
17.0/7.0;2001;967047,369;6446585,647;10
17.0/8.0;2001;967058,8699;6446586,727;10
17.0/9.0;2001;967070,9627;6446587,701;9
17.5/4.5;2001;967017,7004;6446577,375;2
17.5/5.5;2001;967030,5968;6446578,359;5
17.5/7.5;2001;967053,4137;6446580,328;9
17.5/8.5;2001;967065,3181;6446581,312;9
18.0/13.0;2001;967118,5349;6446580,081;1
18.0/14.0;2001;967130,4941;6446581,192;1
18.0/5.0;2001;967024,4133;6446572,129;5
18.0/6.0;2001;967036,2514;6446573,147;2
18.0/7.0;2001;967048,0237;6446574,065;9
18.0/8.0;2001;967059,3659;6446574,421;3
18.0/9.0;2001;967071,3233;6446576,199;3
18.5/5.5;2001;967030,5968;6446566,546;2
18.5/6.5;2001;967042,5013;6446567,53;3
18.5/7.5;2001;967054,4057;6446568,515;3
18.5/8.5;2001;967065,3181;6446569,499;3
19.0/12.0;2001;967107,3806;6446567,795;1
2.0/10.0;2001;967074,2455;6446761,434;1
2.0/9.0;2001;967061,35;6446760,479;1
2.5/10.5;2001;967080,1987;6446756,542;1
2.5/8.5;2001;967056,3898;6446754,573;1
2.5/9.5;2001;967068,2943;6446755,557;1
20.0/11.0;2001;967096,1374;6446555,229;4
20.0/12.0;2001;967107,9096;6446556,246;9
21.0/12.0;2001;967108,5378;6446544,822;3
3.0/10.0;2001;967074,2465;6446749,651;7
3.0/15.0;2001;967132,7767;6446754,573;1
3.0/17.0;2001;967156,5856;6446756,542;1
3.0/18.0;2001;967168,49;6446757,526;1
3.0/9.0;2001;967062,342;6446748,666;1
3.5/10.5;2001;967080,7176;6446744,366;7
3.5/11.5;2001;967093,0952;6446745,713;1
3.5/12.5;2001;967104,0076;6446746,697;1
3.5/13.5;2001;967115,912;6446747,682;1
3.5/14.5;2001;967127,8165;6446748,666;1
3.5/15.5;2001;967139,7209;6446749,651;1
3.5/16.5;2001;967150,6333;6446750,635;1
3.5/17.5;2001;967163,5298;6446751,62;1
3.5/8.5;2001;967057,3818;6446742,76;1
4.0/10.0;2001;967075,2842;6446738,097;7
4.0/11.0;2001;967086,1509;6446738,822;7
4.0/12.0;2001;967099,0474;6446740,791;8
4.0/13.0;2001;967110,5665;6446740,875;1
4.0/14.0;2001;967121,8643;6446742,76;1
4.0/15.0;2001;967133,7687;6446743,744;1
4.0/16.0;2001;967145,6731;6446744,729;3
4.0/17.0;2001;967157,4455;6446745,151;3
4.0/18.0;2001;967169,3497;6446746,135;3
4.0/9.0;2001;967063,4176;6446737,025;8
4.5/10.5;2001;967080,9557;6446732,625;7
4.5/11.5;2001;967093,0952;6446733,9;7
4.5/12.5;2001;967104,9996;6446734,884;7
4.5/13.5;2001;967116,9041;6446735,869;1
4.5/14.5;2001;967127,8165;6446736,853;7
4.5/15.5;2001;967140,713;6446737,837;1
4.5/16.5;2001;967151,6254;6446738,822;3
4.5/17.5;2001;967163,5298;6446739,806;3
4.5/7.5;2001;967045,9695;6446729,732;7
4.5/8.5;2001;967057,3818;6446729,962;5
4.5/9.5;2001;967069,579;6446731,862;8
5.0/10.0;2001;967075,7605;6446726,429;8
5.0/11.0;2001;967087,4605;6446727,591;2
5.0/12.0;2001;967099,2555;6446728,611;2
5.0/13.0;2001;967110,9634;6446729,286;7
5.0/14.0;2001;967122,8495;6446730,501;1
5.0/15.0;2001;967134,6764;6446731,612;3
5.0/16.0;2001;967146,6652;6446732,915;1
5.0/17.0;2001;967158,1034;6446733,546;1
5.0/8.0;2001;967052,2312;6446724,611;5
5.0/9.0;2001;967063,8738;6446725,627;8
5.5/10.5;2001;967081,8455;6446721,393;2
5.5/11.5;2001;967094,0872;6446722,087;2
5.5/12.5;2001;967104,9996;6446723,071;2
5.5/13.5;2001;967116,9007;6446724,325;7
5.5/14.5;2001;967128,8085;6446725,04;8
5.5/16.5;2001;967152,3843;6446727,324;1
5.5/17.5;2001;967164,5219;6446728,978;1
5.5/6.5;2001;967034,565;6446717,164;7
5.5/7.5;2001;967046,4694;6446718,149;5
5.5/8.5;2001;967058,3739;6446719,133;5
5.5/9.5;2001;967070,2783;6446720,118;8
6.0/10.0;2001;967076,2306;6446715,195;8
6.0/11.0;2001;967088,0425;6446716,074;2
6.0/12.0;2001;967100,0394;6446717,164;2
6.0/13.0;2001;967110,9519;6446718,149;7
6.0/14.0;2001;967123,3985;6446719,064;5
6.0/15.0;2001;967134,7607;6446720,118;8
6.0/16.0;2001;967146,6652;6446721,102;8
6.0/17.0;2001;967158,5696;6446722,087;2
6.0/6.0;2001;967029,474;6446711,258;1
6.0/7.0;2001;967040,5172;6446712,242;7
6.0/8.0;2001;967052,4217;6446713,227;5
6.0/9.0;2001;967064,3261;6446714,211;8
6.5/10.5;2001;967082,1828;6446709,289;2
6.5/11.5;2001;967094,0872;6446710,273;2
6.5/12.5;2001;967105,4956;6446711,75;2
6.5/13.5;2001;967117,8961;6446712,242;2
6.5/14.5;2001;967129,8006;6446713,227;5
6.5/15.5;2001;967141,2074;6446714,843;8
6.5/16.5;2001;967152,6174;6446715,195;2
6.5/5.5;2001;967023,6526;6446704,367;8
6.5/6.5;2001;967035,557;6446705,351;7
6.5/7.5;2001;967047,4615;6446706,336;7
6.5/8.5;2001;967058,3739;6446707,32;7
6.5/9.5;2001;967071,2704;6446708,304;8
7.0/10.0;2001;967077,2226;6446703,382;7
7.0/11.0;2001;967088,135;6446704,367;2
7.0/12.0;2001;967100,0394;6446705,351;2
7.0/13.0;2001;967111,9439;6446706,336;2
7.0/14.0;2001;967123,8483;6446707,32;2
7.0/15.0;2001;967135,7496;6446708,584;6
7.0/16.0;2001;967147,6572;6446709,289;2
7.0/17.0;2001;967158,5696;6446710,273;7
7.0/5.0;2001;967017,9732;6446698,297;7
7.0/6.0;2001;967029,6048;6446699,445;5
7.0/7.0;2001;967041,5093;6446700,429;5
7.0/8.0;2001;967053,4137;6446701,413;7
7.0/9.0;2001;967065,1199;6446702,398;2
7.5/12.5;2001;967105,9917;6446700,429;2
7.5/13.5;2001;967118,8881;6446701,413;2
7.5/14.5;2001;967129,8006;6446702,398;2
7.5/15.5;2001;967141,705;6446703,382;6
7.5/17.5;2001;967165,5139;6446705,351;7
7.5/4.5;2001;967012,7975;6446691,993;1
7.5/5.5;2001;967024,6446;6446693,538;8
7.5/6.5;2001;967035,557;6446694,522;5
7.5/7.5;2001;967048,4535;6446695,507;2
7.5/8.5;2001;967059,3659;6446696,491;2
7.5/9.5;2001;967071,2704;6446697,476;2
8.0/10.0;2001;967077,2226;6446691,569;2
8.0/11.0;2001;967089,1932;6446692,983;2
8.0/12.0;2001;967100,9653;6446694,067;3
8.0/13.0;2001;967112,7046;6446695,085;2
8.0/14.0;2001;967124,5758;6446696,089;4
8.0/16.0;2001;967147,6572;6446697,476;6
8.0/17.0;2001;967159,727;6446699,122;6
8.0/18.0;2001;967171,5984;6446700,007;1
8.0/4.0;2001;967006,8872;6446685,993;1
8.0/5.0;2001;967018,6809;6446687,064;7
8.0/6.0;2001;967030,3653;6446688,127;8
8.0/7.0;2001;967041,5093;6446688,616;2
8.0/8.0;2001;967054,4057;6446689,6;2
8.0/9.0;2001;967065,7415;6446691,114;2
8.5/10.5;2001;967083,1748;6446686,647;2
8.5/11.5;2001;967096,0713;6446687,631;2
8.5/12.5;2001;967106,9837;6446688,616;4
8.5/13.5;2001;967118,8881;6446689,6;4
8.5/14.5;2001;967130,7926;6446690,585;2
8.5/16.5;2001;967153,6094;6446692,553;6
8.5/17.5;2001;967166,5059;6446693,538;2
8.5/18.5;2001;967177,4183;6446694,522;8
8.5/3.5;2001;967001,8278;6446679,756;1
8.5/4.5;2001;967012,7402;6446680,74;5
8.5/5.5;2001;967024,6446;6446681,725;7
8.5/6.5;2001;967036,5491;6446682,709;2
8.5/7.5;2001;967048,4535;6446683,694;2
8.5/8.5;2001;967060,0736;6446684,943;2
